"","iter","nvar","true","pred_glm","pred_RF"
"2",1,20,1,0.195536306512901,0.164925804630152
"3",1,20,0,0.0277913865427028,0.0405527148712592
"4",1,20,0,0.188687020709252,0.265205314009662
"5",1,20,0,0.0400770582751611,0.0574228937728938
"6",1,20,0,0.0345743377853274,0.0159442625491765
"7",1,20,1,0.0984180422758043,0.17678253968254
"8",1,20,0,0.0327936950904761,0.0952020683020683
"9",1,20,0,0.0265273705975048,0.0563075757575758
"10",1,20,0,0.015544147381926,0.0275833333333333
"11",1,20,0,0.0225546505549602,0.0299310061877858
"12",1,20,0,0.0483334202540041,0.0185260606060606
"13",1,20,0,0.148316772621823,0.148237896622107
"14",1,20,0,0.117851088098641,0.0532887574764582
"15",1,20,0,0.045564161629353,0.0106366666666667
"16",1,20,0,0.0453150973427077,0.171241226828727
"17",1,20,0,0.19385327733068,0.108499166666667
"18",1,20,0,0.0752781388730521,0.100744191919192
"19",1,20,0,0.0563382483823967,0.0496920963840081
"20",1,20,0,0.0101360167055285,0.0172792929292929
"21",1,20,0,0.0229441183968967,0.0592753630113984
"22",1,20,0,0.0757827226534787,0.054026336517513
"23",1,20,0,0.0549755077015955,0.107324632034632
"24",1,20,0,0.0147429435745337,0.0348553929121726
"25",1,20,0,0.153009749621163,0.0763055097161984
"26",1,20,0,0.0471436519730683,0.062555684031127
"27",1,20,0,0.0920400602269381,0.0750288278388278
"28",1,20,0,0.102204205912852,0.0632592291042291
"29",1,20,0,0.0191321664383672,0.0176614755301196
"30",1,20,0,0.0190594038461453,0.0344544832369359
"31",1,20,0,0.0261797355486243,0.127753113553114
"32",1,20,1,0.122561510577689,0.0381830472646262
"33",1,20,0,0.0988367250507056,0.10746130952381
"34",1,20,0,0.0234286251714335,0.0570888167388168
"35",1,20,0,0.0171870515405462,0.0268763087361293
"36",1,20,0,0.0469182386627486,0.129114101833546
"37",1,20,0,0.0336225040243382,0.0599043573823983
"38",1,20,0,0.00883007715930184,0.0271660073642832
"39",1,20,0,0.0323701621192786,0.0317210855528652
"40",1,20,1,0.0444208358085065,0.234908475296633
"41",1,20,1,0.222422786493745,0.132754761904762
"42",1,20,1,0.2771740494445,0.459931077694236
"43",1,20,0,0.118097991539463,0.0770688644688645
"44",1,20,0,0.0489813659714607,0.04339335839599
"45",1,20,0,0.109780622288006,0.22463721001221
"46",1,20,0,0.0222304654241932,0.02665
"47",1,20,0,0.023776654575287,0.0492742424242424
"48",1,20,0,0.198736860653345,0.126658488612836
"49",1,20,0,0.0227545442354781,0.0500666666666667
"50",1,20,0,0.0129914682018919,0.00393333333333333
"51",1,20,0,0.122490709186599,0.0616333333333333
"52",1,20,0,0.0344500562130351,0.0266978900424173
